Hacienda;   Nombre Hacienda;Suerte
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
4;La Magnolia;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
639;Rancho 4;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
272;La Chica Gaviria;01A
639;Rancho 4;01A
4;La Magnolia;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
635;Palomocho;01A
10;Mayagüez;01A
10;Mayagüez;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
114;Cantarrana;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
188;El Nilo Francisco J. González;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
537;Pasoancho;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
156;San Michel;01A
